#Gene	Name/Description	Isoforms	2 T1 MeanExpLevel	2 T2 MeanExpLevel	2 T3 MeanExpLevel
SNAP23	SNAP23	6	285.45	306.1	252.89
SNAP29	SNAP29	2	285.19	286.99	272.9
SNAP47	SNAP47	3	53.42	57.39	62.55
SNAP91	SNAP91	1	18.01	19.88	12.09
SNAPC1	SNAPC1	1	73.67	93.4	92.8
SNAPC2	SNAPC2	1	71.74	68.24	71.27
SNAPC3	SNAPC3	1	38.47	34.45	46.44
SNAPC5	SNAPC5	5	101.97	102.36	139.77
SNAPIN	SNAPIN	1	86.69	104.61	80.08
SND1	SND1	10	1794.45	1848.13	1713.1
SNF8	SNF8	2	219.62	236.89	193.73
SNIP1	SNIP1	2	124.32	132.75	151.04
SNN	SNN	1	18.08	27.99	15.66
SNORC	SNORC	1	16.61	13.4	16.27
SNPH	SNPH	2	47.56	39.12	43.5
SNRK	SNRK	5	901.35	975.73	906.04
SNRNP200	SNRNP200	7	1674.43	1577.3	1832.18
SNRNP25	SNRNP25	2	285.3	309.8	212.91
SNRNP27	SNRNP27	1	256.41	272.11	296.47
SNRNP35	SNRNP35	2	67.12	61.61	44.92
SNRNP40	SNRNP40	2	70.19	90.15	105.93
SNRNP48	SNRNP48	3	372.53	440.45	484.3
SNRNP70	SNRNP70	7	1252.65	1111.52	1351.77
SNRPA	SNRPA	3	99.72	86.78	69.39
SNRPA1	SNRPA1	6	152.6	179.94	251.39
SNRPB	SNRPB	4	188.0	218.02	186.27
SNRPB2	SNRPB2	3	107.96	103.61	129.32
SNRPC	SNRPC	3	222.41	222.16	217.08
SNRPD1	SNRPD1	1	97.53	96.83	163.17
SNRPD2	SNRPD2	1	244.45	257.73	302.99
SNRPD3	SNRPD3	2	193.11	196.91	225.93
SNRPE	SNRPE	2	185.85	198.78	219.73
SNRPF	SNRPF	1	34.62	39.63	68.19
SNRPG	SNRPG	1	138.19	182.07	177.09
SNRPN	SNRPN	1	54.8	64.9	65.93
SNTA1	SNTA1	1	41.11	26.15	25.23
SNTB1	SNTB1	1	646.67	636.1	998.64
SNTB2	SNTB2	1	304.38	330.08	407.56
SNU13	SNU13	3	370.51	399.33	353.76
SNUPN	SNUPN	4	143.91	140.06	114.73
SNURF	SNURF	3	66.7	69.13	81.81
SNW1	SNW1	5	355.42	411.67	377.82
SNX1	SNX1	8	271.6	303.09	348.65
SNX10	SNX10	2	104.99	158.48	80.75
SNX11	SNX11	1	51.66	59.39	40.93
