#Gene	Gene Description	DIU Result	Q-Value	Major Isoform Switching	Switching Times	1 T1 MeanExpLevel	1 T2 MeanExpLevel	1 T3 MeanExpLevel
FKBP1A	FKBP1A	Not DIU	0.070669	NO		798.67	817.96	694.27
FKBP2	FKBP2	Not DIU	0.90554	NO		194.07	152.15	134.39
FKBP3	FKBP3	Not DIU	0.29042	NO		567.81	470.12	275.26
FKBP4	FKBP4	DIU	0.0025496	NO		1233.44	787.43	472.37
FKBP5	FKBP5	Not DIU	0.56094	NO		1431.35	1602.09	886.46
FKBP7	FKBP7	Not DIU	0.22549	NO		148.75	102.13	104.32
FKTN	FKTN	Not DIU	0.69288	NO		235.61	199.93	133.03
FLAD1	FLAD1	Not DIU	0.16108	YES	1,2	664.36	533.89	245.35
FLCN	FLCN	Not DIU	0.092475	YES	3	266.68	256.93	292.66
FLI1	FLI1	Not DIU	0.61422	NO		316.12	323.25	409.55
FLII	FLII	Not DIU	0.63396	NO		1169.23	1088.08	1098.56
FLNA	FLNA	Not DIU	0.14097	NO		6445.91	7233.49	8201.6
FLNB	FLNB	Not DIU	0.27699	NO		1602.49	1768.69	1883.58
FLOT1	FLOT1	Not DIU	0.058113	NO		863.05	861.53	825.8
FLOT2	FLOT2	Not DIU	0.14033	NO		285.24	264.34	357.5
FLT1	FLT1	DIU	7.5867E-4	NO		700.76	770.38	576.33
FLVCR2	FLVCR2	Not DIU	0.90836	YES	3	214.84	262.75	62.96
FLYWCH1	FLYWCH1	Not DIU	0.26548	NO		88.02	124.51	135.01
FMC1	FMC1	Not DIU	0.96427	NO		159.25	159.92	163.02
FMNL1	FMNL1	Not DIU	0.78438	NO		212.52	219.75	238.55
FMNL2	FMNL2	Not DIU	0.65284	NO		536.68	575.82	579.35
FMNL3	FMNL3	Not DIU	0.68119	YES	2,3	154.46	209.31	248.57
FMO1	FMO1	Not DIU	0.46201	NO		253.15	157.37	135.41
FMO2	FMO2	Not DIU	0.81724	YES	1	791.88	998.49	813.78
FMO4	FMO4	Not DIU	0.23722	NO		137.57	186.21	190.66
FMR1	FMR1	DIU	0.0025171	NO		623.14	711.93	784.29
FN1	FN1	Not DIU	0.1904	NO		52444.9	33579.18	17116.06
FN3K	FN3K	DIU	0.0129	NO		235.06	309.1	316.29
FN3KRP	FN3KRP	DIU	0.018281	YES	3	316.83	315.0	301.81
FNBP1	FNBP1	Not DIU	0.396	NO		702.68	1030.13	886.55
FNBP1L	FNBP1L	Not DIU	0.85749	YES	1,2	422.06	554.11	494.84
FNBP4	FNBP4	Not DIU	0.25794	YES	1,2	1207.96	1327.62	1170.82
FNDC3A	FNDC3A	Not DIU	0.28321	YES	2	581.2	653.52	779.6
FNDC3B	FNDC3B	Not DIU	0.86905	NO		2473.54	2493.19	2107.87
FNDC4	FNDC4	Not DIU	0.33441	NO		67.92	35.82	47.4
FNIP1	FNIP1	Not DIU	0.91807	NO		802.42	763.67	740.8
FNIP2	FNIP2	Not DIU	0.62789	YES	2	695.12	707.36	710.52
FNTA	FNTA	DIU	1.4137E-11	NO		1216.95	1007.18	947.78
